bucket	token	count	guess	guesses	reason	source	record_id	lemma	field	translation
candidate_spelling	deshonradamente	6	descarnadamente	descarnadamente, deshonrosamente	deshonradamente -> descarnadamente	1571 Molina 1	1571-molina-1:025267	teahuilquixtiliztica	Traducción	deshonradamente
candidate_spelling	despezonada	6	despenada	despenada, despeinada, desazonada, despezuñada, desgoznada	despezonada -> despenada	1571 Molina 1	1571-molina-1:001787	tlatzincuauhyocotontli	Traducción	despezonada fruta
candidate_spelling	desvariadamente	6	desairadamente	desairadamente	desvariadamente -> desairadamente	1571 Molina 2	1571-molina-2:009686	ilhuiz	Traducción	desvariadamente o atroche moche. adverbio, o mucho mas
candidate_spelling	disruptor	6	disputar	disputar, disputo, disyuntor	disruptor -> disputar	2021 Wimmer	2021-wimmer:031081	teacomanani	Traducción (es)	disruptor
candidate_spelling	harona	6	harina	harina, harían, hartan, Arona, carona, hurona	harona -> harina	1571 Molina 2	1571-molina-2:001173	tlatzihuini	Traducción	perezoso, o bestia harona
candidate_spelling	latrina	6	latina	latina, latiría, latirían, catrina	latrina -> latina	1571 Molina 1	1571-molina-1:010684	cuitlacalli	Traducción	latrina privada
candidate_spelling	pelechada	6	pelechado	pelechado, pelechara, pelechaba, pelechad, pelechad a	pelechada -> pelechado	1571 Molina 1	1571-molina-1:017635	mihuiyotepeuhqui	Traducción	pelechada ave
candidate_spelling	porventura	6	progenitura	progenitura	porventura -> progenitura	17?? Bnf_362bis	17-bnf-362bis:000185	cuix	Traducción	porventura. en latin num, ne
candidate_spelling	recompensación	6	recomendación	recomendación	recompensación -> recomendación	1571 Molina 1	1571-molina-1:026269	teicneliliztli	Traducción	recompensación
candidate_spelling	vocativa	6	vocativo	vocativo, evocativa	vocativa -> vocativo	2021 Wimmer	2021-wimmer:002755	tlazotzintli	Traducción (es)	adorable o querido. / en forma vocativa
candidate_spelling	zampullín	6	zambullen	zambullen, zambullía, zambullí, zambullían, zambullís, zambullan	zampullín -> zambullen	2021 Wimmer	2021-wimmer:005957	acitli	Traducción (es)	ornitología: zampullín de patas
candidate_spelling	bocage	5	bochare	bochare, bochase	bocage -> bochare	2021 Wimmer	2021-wimmer:006447	xochitla	Traducción (es)	jardín de flores, bocage, arboleda
candidate_spelling	chapinería	5	chacinería	chacinería, échapinería	chapinería -> chacinería	153? Trilingüe	153-trilingue:000459	carron chiuhcanamacoyan	Traducción	chapinería donde se venden
candidate_spelling	compañón	5	cdompañón	cdompañón	compañón -> cdompañón	1571 Molina 2	1571-molina-2:006612	ahuacatl	Traducción	fruta conocida, o el compañón
candidate_spelling	empolvorado	5	empolvado	empolvado, empolvaron	empolvorado -> empolvado	153? Trilingüe	153-trilingue:000094	tlateuhyotilli	Traducción	empolvorado
candidate_spelling	encruelecido	5	encrudecido	encrudecido	encruelecido -> encrudecido	1571 Molina 1	1571-molina-1:009457	cualanqui	Traducción	encruelecido
candidate_spelling	enseñable	5	enseñaste	enseñaste, enseñaba, enseñaban, enseñare, enseñante, enseñase	enseñable -> enseñaste	1571 Molina 1	1571-molina-1:006256	yollo	Traducción	dócil y enseñable
candidate_spelling	hontanales	5	hontanares	hontanares, fontanales	hontanales -> hontanares	153? Trilingüe	153-trilingue:005522	amoloyan	Traducción	hontanales
candidate_spelling	inconversable	5	inconfesable	inconfesable, inconvertible	inconversable -> inconfesable	1571 Molina 2	1571-molina-2:012833	acan teicniuh	Traducción	esquiva e inconversable persona
candidate_spelling	landres	5	ladres	ladres, lanares, Londres, lañares, Flandres	landres -> ladres	1571 Molina 1	1571-molina-1:003498	toquechtlatlaollo	Traducción	landres del cuello
candidate_spelling	meya	5	meda	meda, mega, meta, maye, mesa, mera	meya -> meda	1571 Molina 2	1571-molina-2:004279	yequentel	Traducción	razonablemente. s. meya, o estaría algo mejor el enfermo, o otra cosa. adverbio
candidate_spelling	ochavario	5	ochavado	ochavado	ochavario -> ochavado	1571 Molina 1	1571-molina-1:007944	chicueilhuiquixtiliztli	Traducción	ochavas o ochavario
candidate_spelling	otate	5	Oñate	Oñate, tate, orate, átate, ósate, rótate	otate -> Oñate	1598 Tezozomoc	1598-tezozomoc:000129	topchimalli	Traducción	rodela de fino otate, muy fuerte
candidate_spelling	parlería	5	parlaría	parlaría, parlera, perlería, partería	parlería -> parlaría	1571 Molina 1	1571-molina-1:001101	tlatlatoliztli	Traducción	parlería
candidate_spelling	perlático	5	pelágico	pelágico	perlático -> pelágico	1571 Molina 2	1571-molina-2:006123	coaciuhqui	Traducción	gafo, gotoso, perlático o tullido
candidate_spelling	peñola	5	penosa	penosa	peñola -> penosa	1571 Molina 1	1571-molina-1:003591	totolacatl	Traducción	péndola o peñola
candidate_spelling	predicatorio	5	prcdicatorio	prcdicatorio	predicatorio -> prcdicatorio	153? Trilingüe	153-trilingue:003435	cuauhcomitl	Traducción	predicatorio
candidate_spelling	ruga	5	ruta	ruta, fuga, rusa, ruge, ruda, runa	ruga -> ruta	1765 Cortés y Zedeño	1765-cortes-y-zedeno:000667	xolochtic	Traducción	ruga
candidate_spelling	trupial	5	tripular	tripular, tripulan, tripula, tripulas, tripla, tripulad	trupial -> tripular	2021 Wimmer	2021-wimmer:008559	zacuampapalotl	Traducción (es)	adorno, mariposa en plumas de trupial. / nombre de una mariposa
candidate_spelling	turquesado	5	turquesa	turquesa, turquesas, aturquesado	turquesado -> turquesa	1571 Molina 1	1571-molina-1:004699	xippalli	Traducción	turquesado color
candidate_spelling	agorería	4	agorera	agorera, agoraría	agorería -> agorera	1571 Molina 1	1571-molina-1:003394	tonalpohualiztli	Traducción	agorería así
candidate_spelling	aguzaderas	4	aguaderas	aguaderas, aguzadoras, aguazares	aguzaderas -> aguaderas	153? Trilingüe	153-trilingue:000035	tlatenticatlapanaloyan	Traducción	cantería de aguzaderas
candidate_spelling	almagrada	4	alambrada	alambrada, algarada	almagrada -> alambrada	1571 Molina 2	1571-molina-2:000652	tlatlatlahuililli	Traducción	cosa almagrada
candidate_spelling	apostemado	4	apostado	apostado, apostolado, apostillado, apostatado	apostemado -> apostado	1571 Molina 1	1571-molina-1:006479	yolpozonini	Traducción	apostemado así
candidate_spelling	arrodalado	4	arrodillado	arrodillado	arrodalado -> arrodillado	1571 Molina 2	1571-molina-2:012746	mochimalcalti	Traducción	arrodalado o adargado
candidate_spelling	aína	4	arna	arna, Ana, aíra, taína, asna, saína	aína -> arna	153? Trilingüe	153-trilingue:001394	tzomoctica	Traducción	aína en esta manera
candidate_spelling	carillonneur	4	carillones	carillones	carillonneur -> carillones	2021 Wimmer	2021-wimmer:001770	tlatziliniani	Traducción (es)	carillonneur
candidate_spelling	casaguate	4	cacahuate	cacahuate	casaguate -> cacahuate	2021 Wimmer	2021-wimmer:014168	cuauhzahuacamac	Traducción (es)	lugar donde hay mucho casaguate
candidate_spelling	cegajoso	4	pegajoso	pegajoso, cegatoso	cegajoso -> pegajoso	1571 Molina 1	1571-molina-1:014909	ixcocoxqui	Traducción	cegajoso
candidate_spelling	complacedor	4	complacido	complacido, complacer, complacidos, compadecer, complacemos, complaced	complacedor -> complacido	1571 Molina 1	1571-molina-1:026145	tehuellamachtiani	Traducción	complacedor tal
candidate_spelling	copalli	4	coplas	coplas	copalli -> coplas	2021 Wimmer	2021-wimmer:004592	tzihuaccopalli	Traducción (es)	variedad de copal particularmente oloroso también llamado copal blanco, iztac copalli
candidate_spelling	dañadamente	4	dañinamente	dañinamente, dañosamente	dañadamente -> dañinamente	1571 Molina 1	1571-molina-1:028567	tequenchihualiztica	Traducción	dañadamente
candidate_spelling	descobijado	4	desbocado	desbocado	descobijado -> desbocado	1571 Molina 1	1571-molina-1:032030	tlacochpetlauhtli	Traducción	descobijado así
candidate_spelling	desenvolvedor	4	desenvolver	desenvolver, desenvolvemos, desenvolved, desenvolveos	desenvolvedor -> desenvolver	1571 Molina 1	1571-molina-1:002728	tlazohuani	Traducción	desenvolvedor así
candidate_spelling	donosamente	4	dolosamente	dolosamente	donosamente -> dolosamente	1571 Molina 1	1571-molina-1:026141	tehuehuetzquitiliztica	Traducción	donosamente
candidate_spelling	encrestado	4	encrespado	encrespado, encestado	encrestado -> encrespado	1571 Molina 1	1571-molina-1:009245	cuachichiquile	Traducción	encrestado con cresta de pluma
candidate_spelling	endenantes	4	enseñantes	enseñantes, endosantes	endenantes -> enseñantes	1692 Guerra	1692-guerra:000144	ya yehua	Traducción	endenantes [antes, hace poco]
candidate_spelling	enviudada	4	enviudado	enviudado, enviudaba, enviudara, enviudará, enviudad, enviudad a	enviudada -> enviudado	1571 Molina 1	1571-molina-1:013019	icnocihuatl	Traducción	enviudada mujer o viuda
candidate_spelling	gentílica	4	gentecilla	gentecilla, gentilicia	gentílica -> gentecilla	1780 ? Bnf_361	1780-bnf-361:000195	tlateotocanime intlamanitiliz	Traducción	gentil cosa de gentiles, o costumbre gentílica
candidate_spelling	innan	4	inane	inane	innan -> inane	2021 Wimmer	2021-wimmer:031206	teccizcuacuilli	Traducción (es)	sacerdote que vestía la piel de teteoh ​​innan
candidate_spelling	intl	4	int	int, intel	intl -> int	1645 Carochi	1645-carochi:000497	zan	Traducción	sólo / (excluyente) / sino / solamente / mä nel ~, siquiera / ~ cémi, de una vez / àmo ~ tlapohualpa, innumerables veces / ~ cánâ, en cual parte / ~ nö cuël, otra vez / ~ ye oncän, en el mismo lugar / àmo ~ miecpa, pocas veces / àmo ~ quën amî, no como quiera / àmo ~ tlapöhualli, infinita(s) / intlä
candidate_spelling	legacía	4	legaría	legaría	legacía -> legaría	1780 ? Bnf_361	1780-bnf-361:008336	hueiteopixcatetitlaniztli	Traducción	legacía del papa
candidate_spelling	macuele	4	macéele	macéele, acuelle	macuele -> macéele	1571 Molina 2	1571-molina-2:011806	maocque	Traducción	lo mismo es que macuele
candidate_spelling	momot	4	momo	momo, momos, momoto	momot -> momo	2021 Wimmer	2021-wimmer:004892	tziuhtli	Traducción (es)	ornitología: momot, ave de plumas preciosas
candidate_spelling	monel	4	motel	motel, moneo, monea, tonel, moneó, monee	monel -> motel	17?? Bnf_362bis	17-bnf-362bis:000186	cuix  +	Traducción	con estos adverbios se da de entender que aquello de que se habla no tendrá efecto. de estos ejemplos se ve que mo, y monel con el cuix alteran su significación, y los hacen significar con diversa de la que significan sin el cuix
candidate_spelling	nicno	4	Nino	Nino, niño, Nico, nicho	nicno -> Nino	2021 Wimmer	2021-wimmer:007693	cemmamaltia	Traducción (es)	v.bitrans. nicno-., carga su conciencia
candidate_spelling	niello	4	nielo	nielo, niel	niello -> nielo	2021 Wimmer	2021-wimmer:004894	tzoacatl	Traducción (es)	niello, broui, seco, hablando de fruta
candidate_spelling	nnich	4	nicho	nicho	nnich -> nicho	2021 Wimmer	2021-wimmer:003133	tlilpotonqui	Traducción (es)	adorno, que está cubierto de pegamento y plumas negras. / en combinación con en el valle de toluca es un nombre esotérico del frijol. mönnich 1969, 120. / nombre sacerdotal
candidate_spelling	pareceme	4	pareceré	pareceré, paréceme	pareceme -> pareceré	1611 Arenas	1611-arenas:000387	iuhquim ma	Traducción	[parece me] / pareceme
candidate_spelling	parlón	4	parón	parón, parlen, parlan, parlo, parló	parlón -> parón	1571 Molina 2	1571-molina-2:014410	nentlatoani	Traducción	parlón vano
candidate_spelling	personificadores	4	personificados	personificados, personificares	personificadores -> personificados	2021 Wimmer	2021-wimmer:026307	netlatiloyan	Traducción (es)	lugar del recinto sagrado donde se sacrificaban personificadores rituales
candidate_spelling	preteri	4	preferí	preferí, preterí, pretere, pretera, preterir, preterís	preteri -> preferí	2021 Wimmer	2021-wimmer:007873	cempanquiza	Traducción (es)	v.i., andar en procesión. preteri: onicempanquiz
candidate_spelling	remenda	4	tremenda	tremenda, remendar, remeda, remienda, remendó, remendé	remenda -> tremenda	2021 Wimmer	2021-wimmer:019067	itzonqui	Traducción (es)	el que cose, remenda una cosa
candidate_spelling	robliza	4	rolliza	rolliza	robliza -> rolliza	1571 Molina 1	1571-molina-1:007668	chicahuac	Traducción	robliza cosa recia
candidate_spelling	seler	4	Sever	Sever, seles, soler, sele, sellar, sellen	seler -> Sever	2021 Wimmer	2021-wimmer:010467	chinancale	Traducción (es)	dado por seler ii 509 como equivalente de calpōleh
candidate_spelling	tallecida	4	fallecida	fallecida, talegada, tullecida	tallecida -> fallecida	1571 Molina 2	1571-molina-2:017122	quilquiyotl	Traducción	tallo de verdura espigada o tallecida
candidate_spelling	tarascos	4	tabascos	tabascos, tarascas	tarascos -> tabascos	2021 Wimmer	2021-wimmer:004368	tzanaton	Traducción (es)	nombre de una manta que usaban los tarascos, en la camisa llamada cicuilli
candidate_spelling	tercianas	4	terciadas	terciadas, terciaras, terciabas, terciarás	tercianas -> terciadas	17?? Bnf_362	17-bnf-362:003784	atonahuia	Traducción	padecer calentura de tercianas
candidate_spelling	teñidura	4	reñidura	reñidura	teñidura -> reñidura	1765 Cortés y Zedeño	1765-cortes-y-zedeno:004560	tlapahuiliztli	Traducción	teñidura
candidate_spelling	tomentosa	4	tormentosa	tormentosa	tomentosa -> tormentosa	2021 Wimmer	2021-wimmer:011046	cihuapatli	Traducción (es)	nombre que reciben distintas hierbas medicinales utilizadas para inducir las contracciones durante el parto (montanoa tomentosa, montanoa grandiflora, eriocoma floribunda)
candidate_spelling	tozan	4	tazan	tazan, toman, gozan, tocan, rozan, tosan	tozan -> tazan	1571 Molina 2	1571-molina-2:002597	tozampotzalli	Traducción	el móntón de tierra que echa fuera un cierto animalejo que se llama tozan
candidate_spelling	acuchararse	3	achucharrase	achucharrase	acuchararse -> achucharrase	1571 Molina 1	1571-molina-1:009036	copichahui	Traducción	acanalarse o acuchararse
candidate_spelling	adrada	3	agrada	agrada, adorada, airada, arada, adiada, adarga	adrada -> agrada	153? Trilingüe	153-trilingue:000080	cancana	Traducción	adrada cosa razas
candidate_spelling	agonar	3	agotar	agotar, abonar, agorar	agonar -> agotar	17?? Bnf_362	17-bnf-362:000393	tonalpohua	Traducción	hechizar o agonar
candidate_spelling	ahermosear	3	hermosear	hermosear, a hermosear	ahermosear -> hermosear	1571 Molina 1	1571-molina-1:008086	chipahua	Traducción	ahermosear o hermosear algo
candidate_spelling	alcaidía	3	alcaldía	alcaldía	alcaidía -> alcaldía	1571 Molina 2	1571-molina-2:003956	yaocallapixcayotl	Traducción	alcaidía de fortaleza
candidate_spelling	apellas	3	paellas	paellas, pellas, apelas, a pellas	apellas -> paellas	1595 Rincón	1595-rincon:000160	chachapaca	Traducción	caer apellas alguna cosa
candidate_spelling	apitunado	3	apitonado	apitonado	apitunado -> apitonado	1571 Molina 2	1571-molina-2:018382	ayohui cualanini	Traducción	apitunado y súbito
candidate_spelling	aportearse	3	aportares	aportares, aporreares, a portearse	aportearse -> aportares	1765 Cortés y Zedeño	1765-cortes-y-zedeno:002538	maca	Traducción	darse a si mismo, aportearse
candidate_spelling	apud	3	alud	alud, aupad, azud, upad	apud -> alud	17?? Bnf_362bis	17-bnf-362bis:000034	tloc	Traducción	junto. latin. juxta, apud. (preposición)
candidate_spelling	arrodelarse	3	arrodillares	arrodillares	arrodelarse -> arrodillares	1571 Molina 1	1571-molina-1:008053	chimalcaltia	Traducción	arrodelarse; busca adargarse
candidate_spelling	arrugaduras	3	arrugadas	arrugadas, arrugaras, arrulladoras	arrugaduras -> arrugadas	1780 ? Bnf_361	1780-bnf-361:006049	za pipilcac in inacayo	Traducción	viejo arrugado que le cuelgan las arrugaduras, como gualdrapas
candidate_spelling	asosegado	3	asesorado	asesorado, sosegado, a sosegado	asosegado -> asesorado	1571 Molina 1	1571-molina-1:002620	tlayolhuellalilli	Traducción	asosegado así
candidate_spelling	añublada	3	anulada	anulada, nublada, anublada, anublad, anubladas	añublada -> anulada	1571 Molina 2	1571-molina-2:002873	tzoacatl	Traducción	fruta añublada así
candidate_spelling	cadette	3	cadete	cadete, cadente	cadette -> cadete	2021 Wimmer	2021-wimmer:019085	itztapalli	Traducción (es)	cadette, losa, piedra tallada utilizada para pavimentar
candidate_spelling	carimenudo	3	carmenado	carmenado	carimenudo -> carmenado	1571 Molina 1	1571-molina-1:015291	ixpitzahuac	Traducción	carimenudo
candidate_spelling	carochi	3	carcomí	carcomí	carochi -> carcomí	1759 Paredes	1759-paredes:000296	yocolilia	Traducción	de este usa carochi y los más autores
candidate_spelling	cazporra	3	casposa	casposa	cazporra -> casposa	1571 Molina 2	1571-molina-2:016500	piccatl  +	Traducción	la raya ohendedura de la cazporra del prepucio del miembro
candidate_spelling	ceppa	3	cappa	cappa, cepa	ceppa -> cappa	1571 Molina 2	1571-molina-2:017205	quiniuhti	Traducción	lo mismo es que quinic ceppa
candidate_spelling	chipil	3	chipia	chipia, chipio	chipil -> chipia	1580 Sahagún/Máynez	1580-sahagun-maynez:000249	tzipipatli	Traducción	medicina del chipil
candidate_spelling	cipactonal	3	capichola	capichola	cipactonal -> capichola	2021 Wimmer	2021-wimmer:011231	cipactonalti	Traducción (es)	v.i., conviértete en cipactonal
candidate_spelling	cirón	3	cerón	cerón, tirón, lirón, ciaron, jirón, Girón	cirón -> cerón	2021 Wimmer	2021-wimmer:008052	yolizahuatl	Traducción (es)	cirón, alimaña que causa picazón (s - yoliçauatl)
candidate_spelling	cocolia	3	coloca	coloca, cocolida	cocolia -> coloca	2021 Wimmer	2021-wimmer:011654	cocolilia	Traducción (es)	cocolilia, v.aplic. sobre cocolia
candidate_spelling	colchero	3	corchero	corchero, cochero	colchero -> corchero	1571 Molina 1	1571-molina-1:031725	tlachcahuipilzoc	Traducción	colchero
candidate_spelling	comme	3	Cosme	Cosme, come, colme, combe, combé, colmé	comme -> Cosme	2021 Wimmer	2021-wimmer:009575	chalchiuhteuh	Traducción (es)	comme du jade
candidate_spelling	communis	3	comunes	comunes, comunas	communis -> comunes	2021 Wimmer	2021-wimmer:026046	acatl	Traducción (es)	caña. phragmites communis trin. / una de las salidas del gran templo de tenochtitlan. / flecha. / caña designa la uretra
candidate_spelling	cotara	3	contará	contará, votará, contara, votara, costara, notara	cotara -> contará	1598 Tezozomoc	1598-tezozomoc:000256	xiuhcactli	Traducción	cotara azul
candidate_spelling	demasiarse	3	desampares	desampares, desairase, desamorase, desamares	demasiarse -> desampares	1629 Alarcón	1629-alarcon:000013	tlatlacoa	Traducción	demasiarse / faltar a su obligación
candidate_spelling	desainado	3	destinado	destinado, desafiando, desviando, desatando, desanimado, desafinado	desainado -> destinado	1571 Molina 1	1571-molina-1:006797	cenca cihuanotzani	Traducción	desainado
candidate_spelling	desengrudada	3	desenredada	desenredada, desengrasada, desengranada, desengrosada	desengrudada -> desenredada	1571 Molina 1	1571-molina-1:033381	tlaixcoleuhtli	Traducción	desengrudada cosa
candidate_spelling	dormiendo	3	durmiendo	durmiendo, dormido, dormitando, mordiendo, dormitado	dormiendo -> durmiendo	1571 Molina 1	1571-molina-1:008648	cochizmahua	Traducción	dormiendo hacer a otro dormir
candidate_spelling	ehco	3	echo	echo, eco	ehco -> echo	2021 Wimmer	2021-wimmer:015311	ecahuia	Traducción (es)	v.t. tē-., hacer llegar a alguien. / v.refl., invitarse a comer. / v.refl., honorífico en ehco, llegar
candidate_spelling	emaciación	3	emancipación	emancipación, emanación	emaciación -> emancipación	2021 Wimmer	2021-wimmer:013568	cuauhhuaccayotl	Traducción (es)	debilidad, delgadez, emaciación
candidate_spelling	empulgueras	3	empulgares	empulgares	empulgueras -> empulgares	1571 Molina 1	1571-molina-1:033136	tlahuitolcuactli	Traducción	empulgueras
candidate_spelling	enforrada	3	enfocada	enfocada, enfardara	enforrada -> enfocada	153? Trilingüe	153-trilingue:011193	tlaixnepanoliztli	Traducción	enforrada vestidura
candidate_spelling	engastonado	3	engarrotando	engarrotando, engastando	engastonado -> engarrotando	1780 ? Bnf_361	1780-bnf-361:000178	tlateocuitlacalloti	Traducción	engastador, o engastonado como en oro
candidate_spelling	enhiestada	3	enfiestada	enfiestada, enhestada	enhiestada -> enfiestada	1571 Molina 2	1571-molina-2:022013	tlaehuatiquetzalli	Traducción	cosa enhiestada así
candidate_spelling	enmedio	3	endemia	endemia, en medio	enmedio -> endemia	1571 Molina 2	1571-molina-2:013023	moquetzani  +	Traducción	el que se pone enmedio de los que riñen para poner los en paz
candidate_spelling	enserados	3	encerrados	encerrados, enterados, encerados, enseñados, enseriados, ensebados	enserados -> encerrados	1571 Molina 1	1571-molina-1:000241	tlatepitztentli	Traducción	higos enserados
candidate_spelling	erga	3	Berga	Berga, era, ergo, jerga, erra, erg	erga -> Berga	17?? Bnf_362bis	17-bnf-362bis:000241	huic	Traducción	preposición. hacia, contra, erga, adversus
candidate_spelling	extend	3	extendí	extendí	extend -> extendí	2021 Wimmer	2021-wimmer:005658	acitimoteca	Traducción (es)	v.i., extend
candidate_spelling	gand	3	and	and, gana, gane, ganó, gano, gané	gand -> and	2021 Wimmer	2021-wimmer:021058	macpalli	Traducción (es)	palma. / gand. / pulsera que se lleva en el antebrazo (?). / unidad de medida, 7 a 9 cm
candidate_spelling	geminos	3	géminis	géminis, gemidos, gemimos	geminos -> géminis	1571 Molina 1	1571-molina-1:008732	cocohua	Traducción	geminos, hermanos nacidos de un vientre
candidate_spelling	hades	3	hates	hates, haces, hadas, hales, nades, hados	hades -> hates	2021 Wimmer	2021-wimmer:015357	ecatlan	Traducción (es)	lugar donde soplan los vientos. / como el nombre de hades
candidate_spelling	hist	3	host	host, hits, hit, chist	hist -> host	2021 Wimmer	2021-wimmer:004684	tzincoc	Traducción (es)	ver part.hist
candidate_spelling	juxta	3	Jutta	Jutta, juta, justa, junta	juxta -> Jutta	17?? Bnf_362bis	17-bnf-362bis:000034	tloc	Traducción	junto. latin. juxta, apud. (preposición)
candidate_spelling	labrets	3	labres	labres, labraste, labréis	labrets -> labres	2021 Wimmer	2021-wimmer:015419	ahuitlatztli	Traducción (es)	designa labrets en forma de lagarto
candidate_spelling	ladrillería	3	ladrillera	ladrillera, ladrillaría	ladrillería -> ladrillera	1571 Molina 1	1571-molina-1:004466	xamixcalchihualoyan	Traducción	ladrillería donde se hacen
candidate_spelling	liaz	3	liza	liza, liar, liad	liaz -> liza	17?? Bnf_362	17-bnf-362:000947	cemmecatl	Traducción	manojo o cosa que se pone en liaz
