relation	token	guess	count	source	lemma	translation	guesses
other	baldrés	baldes	2	153? Trilingüe	cuetlaxtli	Baldrés, pelleja curtida.	baldes, baldares, baldees, baldosé, baladres
other	bautizador	bautizado	2	1571 Molina 1	tecuatequiani	bautizador.	bautizado, bautizados
other	besador	besado	2	1571 Molina 1	tetennamiquini	besador.	besado, besados, pesador
other	bruñidero	bruñidor	2	1571 Molina 2	tlapetlahualoni	bruñidero, o instrumento para acecalar y bruñir algo.	bruñidor, bruñidores
other	burlamiento	bruñimiento	2	1780 ? Bnf_361	tetlatolpinahuiliztli	Escarnecimiento, o burlamiento de lo que otro dice.	bruñimiento
other	embarramiento	envaramiento	2	1571 Molina 2	tlazoquiyotiliztli	embarramiento así.	envaramiento, embarraliento
other	embetunador	embetunados	2	1571 Molina 1	tlatzacuiani	embetunador.	embetunados, embetunado
other	enrojar	enojar	2	153? Trilingüe	cozahuia ^	Enrojar o enrubiarse.	enojar, enrollar, enrolar, enrejar, enromar
other	oblada	poblada	2	153? Trilingüe	huentli	Oblada.	poblada, doblada, orlada, bolada, obrada
other	orinienta	orienta	2	1571 Molina 2	poxcauhqui	cosa mohosa, o orinienta.	orienta
other	abejita	abestia	1	2002 Mecayapan	calnec	Tipo de abejita negra que no tiene aguijón; se refiere también a su panal y su miel.	abestia
other	aborrecedora	adormecedora	1	1765 Cortés y Zedeño	tetlacocoliani	Aborrecedor, aborrecedora	adormecedora
other	abortón	aborten	1	153? Trilingüe	tlatlaxtli	Abortón.	aborten, abortan
other	abundamiento	abultamiento	1	153? Trilingüe	onehualiztli	Abundamiento.	abultamiento
other	atestiguadores	atestiguados	1	1571 Molina 2	tetlaneltilicahuan	atestiguadores.	atestiguados, atestiguares
other	ayocacatzintli	aaocacatzintli	1	1571 Molina 2	cac, maz ez reuerencial  =	Cf. ayocacatzintli	aaocacatzintli
other	baco	buco	1	1579 Durán	ome tochtli	Dos conejos. El dios Baco. "Dos conejo"	buco, laco, paco, bajo, banco
other	balacear	balacera	1	1984 Tzinacapan	toponia	Balacear, disparar	balacera, balancear
other	barbechador	barbechados	1	1571 Molina 2	tlapopoxoani	barbechador.	barbechados, barbechado
other	bixa	bisa	1	2002 Mecayapan	achiyo	achiote (bixa orellana)	bisa, biga, bina, bita, bija
other	blandilla	blandita	1	1571 Molina 2	yamactontli	cosa blandilla así.	blandita, blandida
other	blanquete	banquete	1	1765 Cortés y Zedeño	iztactic	Alvayarde, o blanquete	banquete, blanquece
other	blanquibol	blanquillo	1	153? Trilingüe	neichichihualoni	Blanquibol o albayalde.	blanquillo
other	blándilla	blandito	1	1571 Molina 2	yamancatontli	blándilla cosa.	blandito, blandita, blandir, blandura, blanditas
other	bodegonera	bodegonear	1	153? Trilingüe	cihuatl ocnamacac	Bodegonera que vende allí.	bodegonear, bodegonea, bodegoneara
other	bollitos	boletos	1	1579 Durán	tzocoyotl	"Bollitos"	boletos, pollitos, bolitas, bolillos
other	borbollitas	borbollabas	1	1571 Molina 2	ixmomoloca	hacer el agua borbollitas.	borbollabas, borbollas, borbollaras, borbolleas
other	borní	borne	1	153? Trilingüe	tlotli	Borní especie de halcón.	borne, bornee
other	brilloso	brillos	1	2002 Mecayapan	pichoti	brilloso	brillos, brillos o
other	bruneta	Brunete	1	153? Trilingüe	castilla tliltic tilmatli	Bruneta, paño negro.	Brunete, bruñera
other	catzin	catrín	1	1645 Carochi	quemaca	quëmàcatzin, sí (más reverencial) / sí (reverencial)	catrín
other	desalbardar	descalabrado	1	153? Trilingüe	pepechtemohuia	Desalbardar.	descalabrado, descalabrar, desagradar, descalabrada, descalabrara
other	embarcadura	embarcadora	1	153? Trilingüe	acalco calaquiliztli	Embarcadura.	embarcadora, embarradura
other	embarnecer	embravecer	1	1565 Sahagún Escolios	patlani	volar: por metáfora quieren decir crescer y embarnecer en el cuerpo.	embravecer, embarbecer
other	embarnizadura	embarnizada	1	153? Trilingüe	tlachiemahuiliztli	Embarnizadura.	embarnizada, embarnizara
other	embazadura	embaladura	1	153? Trilingüe	neizahuiliztli	Embazadura.	embaladura, embarradura
other	embijamiento	embobamiento	1	1571 Molina 2	teozaliztli	unción, o embijamiento que se hace a otro.	embobamiento, embotamiento, embrujamiento
other	enaguazarse	enaguaras	1	1571 Molina 2	tlaahuaqui	abochornarse los panes o enaguazarse y anegarse.	enaguaras, enaguares
other	enredadizo	enredado	1	1780 Clavijero	ilacatziuhqui	Enredadizo. Se dice particularmente de las plantas	enredado
other	enriscamiento	enroscamiento	1	153? Trilingüe	tlacpacieliztli	Enriscamiento.	enroscamiento, enfrascamiento
other	enrizamiento	enrolamiento	1	153? Trilingüe	cihuapahualiztli	Enrizamiento así.	enrolamiento, erizamiento
other	enrosador	enlosador	1	1765 Cortés y Zedeño	xochiani	Rosador, o enrosador	enlosador
other	iuan	iban	1	1571 Molina 2	noye	y también. s. iuan. conjunción.	iban, Juan, cuan, izan
other	iucci	iicci	1	1645 Carochi	icuci	cocerse, o sazonarse algo -véase iucci	iicci, iccci, idcci, ilcci, imcci
other	ngojtzitz	negojtzitz	1	2002 Mecayapan	teyina	derribar (frutas y flores) Inïn ejeca' yej panoj tami' quiteyîn seli'mângojtzitzîn. El viento que pasó derribó todos los mangos tiernitos.	negojtzitz
other	quinatzin	quintaron	1	1580 Sahagún/Máynez	techotlalla chichimeca	Ayo y sucesor de Quinatzin	quintaron, quintan, quintaban, quintasen, quintaran
other	tequiz	Teques	1	1629 Alarcón	quechnahua	abrazarse dos (quittonezqui quechnahuàtequiz)	Teques
other	tzinap	tiznan	1	17?? Bnf_362	teotetl	Azauachi, esto no es propiamente azabache sino una piedra negra que en Tarasco llaman Tzinap	tiznan, tiznar, tizna, tiznas, tiznad
other	vtsa	visa	1	1565 Sahagún Escolios	tehuyotica tepiltzin	[hijo o hija legítimos] ídem [tlaçopilli], ca. vtsa (5)	visa, vasta
no-guess	barrimiento		9	1571 Molina 1	tlehuahuanaliztli	barrimiento o barredura tal.	
no-guess	iuhqui		9	1645 Carochi	ye	ya / çan ~ nö ihui, de la misma manera / (çan ~) nö iuh, de la misma manera / ca ~, ya / çan ~ nö iuhqui, de la misma manera / çan ~ nö, mismo / (in) ~ nechca, tiempos pasados / (in) ~ nëpa, tiempos pasados / ~ huècauh, antiguo / ~ imman, ya es hora / ~ imman,	
no-guess	buscamiento		7	1571 Molina 1	tlatemoliztli	buscamiento.	
no-guess	tlacaeleltzin		6	1598 Tezozomoc	tlacaeleltze	Cf. tlacaeleltzin	
no-guess	cuandoquiera		5	1571 Molina 2	zaciquin	sea cuandoquiera. s. que algo acaeciere. adverbio.	
no-guess	oniquiz		5	1565 Sahagún Escolios	mana	ninomana. pt. oninomâ. Salir cosa llana como parece el sol que sale (d) / salir, pt. oniquiz. oninoman (23+)	
no-guess	barnizamiento		4	1571 Molina 1	tlaaxhuiliztli	barnizamiento tal.	
no-guess	bambaneamiento		3	1571 Molina 2	ahuic huechiliztli	bambaneamiento.	
no-guess	barbinegro		3	1571 Molina 1	tentzon tliltic	barbinegro.	
no-guess	iuhcatzintli		3	17?? Bnf_362bis	iuhcatzintli	Iuhqui (adverbio, algunas veces es nombre, y su plural es Iuhquê, y su reverencial Iuhcatzintli) su significación se conoce por estos ejemplos	
no-guess	iuhqu		3	17?? Bnf_362bis	iuhcatzintli	Iuhqui (adverbio, algunas veces es nombre, y su plural es Iuhquê, y su reverencial Iuhcatzintli) su significación se conoce por estos ejemplos	
no-guess	iuhquimma		3	17?? Bnf_362bis	in mayo$qui	lo mismo que iuhquimma	
no-guess	moyolicatzin		3	17?? Bnf_362bis	ammoyolicatzin	Vosotros, Os. (vide Moyolicatzin)	
no-guess	notzicuicticauh		3	1565 Sahagún Escolios	tzicuictic	cosa suelto. ca. notzicuicticauh (4) / ligera, ca. notzicuicticauh (5) / vivo agudo ligero o veloz, ca. notzicuicticauh (13+)	
no-guess	teputze		3	1565 Sahagún Escolios	cuexane	el que rige o sustenta algún cargo, estos tres vocablos [cuexane, teputze, macuche] andan siempre juntos, ca. nocuexanecauh (9-) / persona que lleva algo en el regazo (17)	
no-guess	tlalhuiz		3	17?? Bnf_362bis	ilihuiz	inconsideramente. sinonimo de Tlalhuiz	
no-guess	tlaquatzi		3	1629 Alarcón	tlacopatli	bebedizo que es de la Raíz llaman tlacopàtli, aunque tal vez se valen de la cola del tlaquatzi / raíz	
no-guess	achitzin		2	1780 Clavijero	aquiton	Véase Achitzin	
no-guess	betuláceo		2	1984 Tzinacapan	ilicuahuitl	Aliso (árbol betuláceo)	
no-guess	boqueamiento		2	1571 Molina 1	camachaloliztli	boqueamiento.	
no-guess	bravísimamente		2	1571 Molina 2	tlachichinacapololli	atormentado bravísimamente.	
no-guess	chahuiztle		2	2002 Mecayapan	chahuiz	chahuiztle (enfermedad de plantas)	
no-guess	embarnizamiento		2	1571 Molina 1	tlachiyamahuiliztli	embarnizamiento de esta manera.	
no-guess	embetunamiento		2	1571 Molina 1	tlatzauchuiliztli	embetunamiento.	
no-guess	itechtzinco		2	1759 Paredes	itetzinco	de itechtzinco. Pierde la ch, por la siguiente tz / es lo mismo que itechtzinco	
no-guess	iuiyotia		2	1571 Molina 2	ihuiyoquiza	lo mismo es que iuiyotia.	
no-guess	mauizopoloa		2	1571 Molina 2	mahuizpoloa	lo mismo es que mauizopoloa.	
no-guess	nachtzin		2	1565 Sahagún Escolios	teachtze	el hermano mayor en linaje de oficio, dice la mujer nachtzin, ca. nachtze (1+)	
no-guess	notlatziuhcauh		2	1565 Sahagún Escolios	tlatziuhqui	perezoso o perezosa, ca. notlatziuhcauh (2) {mi perezoso o perezoza} / persona perezosa, ca. notlatziuhcauh (9)	
no-guess	onenquiz		2	1565 Sahagún Escolios	amo nenquiza	no pasar en balde, pt. amo onenquiz. (2)	
no-guess	onipetzin		2	1565 Sahagún Escolios	petzini	asomar, pt. onipetzin (24) / nipetzini. pt. onipetzin. asomar se cualquiera cosa (e)	
no-guess	onivaltziniloth		2	1565 Sahagún Escolios	hualtzinilotia	recular o volver atrás, pt. onivaltziniloth (100-)	
no-guess	otlauizcalli		2	1565 Sahagún Escolios	quequetza  +	aparece gran claridad, pt. otlauizcalli moquequetz. (9+)	
no-guess	polihuiztli		2	1571 Molina 2	ipam polihuiliztli  =	Cf. ipam polihuiztli	
no-guess	quemacatzin		2	17?? Bnf_362bis	quemaca	Si, con alguna reverencia. Quemacatzin. si, con mayor reverencia.	
no-guess	quiztiquiça		2	1571 Molina 2	quiztihuetzi	lo mismo es que quiztiquiça.	
no-guess	tlailiuizuia		2	1565 Sahagún Escolios	tlatlaxcoloa	[ser arrojado o precipitado] ídem [tlailiuizuia], pt. onitlatlaxcolo (52)	
no-guess	tlathuiztli		2	1571 Molina 2	aquen tlattaliztli  =	Cf. aquen tlathuiztli	
no-guess	achihualhuetzi		1	1571 Molina 2	achinicchitonia:  =	Cf. achihualhuetzi	
no-guess	ahuizotl		1	1580 Sahagún/Máynez	tziuhcoac	Provincia conquistada por Ahuizotl	
no-guess	auhtzin		1	17?? Bnf_362bis	aú	se distingue mucho del anterior [auh]: su significación por ser dificultosa se entenderá mejor con los ejemplos. (sílaba larga y su reverencial Auhtzin)	
no-guess	barbasco		1	2002 Mecayapan	moycoy	barbasco (bejuco de donde se saca veneno para pescar)	
no-guess	basuriento		1	2002 Mecayapan	tlazoltla	haber basura (ambiente), basuriento	
no-guess	bixáceas		1	1580 Sahagún/Máynez	achiyotl	Árbol de las bixáceas	
no-guess	bizcochillo		1	1598 Tezozomoc	tlaxcalmimilolli	tortilla y manera de bizcochillo	
no-guess	bromeliáceas		1	1984 Tzinacapan	pachtli	Pachtle (planta de la familia de las bromeliáceas, que cuelga de las ramas de los árboles)	
no-guess	buharro		1	1579 Durán	cozcacuauhtli	Buharro. "Águila de collar"	
no-guess	cauhtiquiza		1	1780 ? Bnf_361	necauhtiquizaliztli	Cosa quedada o detenida, vid cauhtiquiza	
no-guess	cenquizca		1	17?? Bnf_362bis	cenquizqui	muy, mucho. Junto con nombre lo hace superlativo. vide cenquizca	
no-guess	choquilitzatzi		1	1571 Molina 2	choquitzatzi	lo mismo es que choquilitzatzi.	
no-guess	choquitzatzi		1	1571 Molina 2	choquilitzatzi  =	Cf. choquitzatzi	
no-guess	choquiztli		1	1571 Molina 2	choquiliztli  =	Cf. choquiztli	
no-guess	cocotzin		1	1780 Clavijero	tlapalcocotli	Véase Cocotzin	
no-guess	colhuacatzinco		1	1580 Sahagún/Máynez	colhuacatzincatl	"El que habita en Colhuacatzinco"	
no-guess	cueyatzin		1	1598 Tezozomoc	cuetzin	Cf. cueyatzin	
no-guess	ehecacehuazquetzalli		1	1598 Tezozomoc	heccaçehuazquetzalli	Cf. ehecacehuazquetzalli	
no-guess	eltzitzica		1	1571 Molina 2	elpantlatla  =	Cf. eltzitzica	
no-guess	eltzitzicac		1	1571 Molina 2	elpantlatlac  =	Cf. eltzitzicac	
no-guess	eltzitzicaliztli		1	1571 Molina 2	elpantlatlaliztli  =	Cf. eltzitzicaliztli	
no-guess	embestimiento		1	153? Trilingüe	tlaehuatiquetzaliztli	Embestimiento.	
no-guess	enriquecidamente		1	1571 Molina 2	tecuiltonoliztica	enriquecidamente.	
no-guess	huactzin		1	1629 Alarcón	huactzin  +	espíritu o conjurado huactzin	
no-guess	huexotzincatl		1	1598 Tezozomoc	huexotzincatl	Cf. huexotzincatl	
no-guess	huexotzinco		1	1580 Sahagún/Máynez	huexotzincayotl	"A la manera de Huexotzinco"	
no-guess	huitzilihuiyotl		1	1598 Tezozomoc	huitzilihuiutl	Cf. huitzilihuiyotl	
no-guess	huitzillan		1	1598 Tezozomoc	huitzilam	Cf. huitzillan	
no-guess	huitzilopuchtli		1	1598 Tezozomoc	tetzauhteotl	abusión / Huitzilopuchtli *D	
no-guess	huitztomatzin		1	1780 Clavijero	neixpopohualoni	Véase Huitztomatzin	
no-guess	huiztlanpa		1	1551-95 Documentos nahuas de la Ciudad de México	huitztlampa itztimani	[Sur] estar hacia Huiztlanpa	
no-guess	ichpochtzintli		1	1759 Paredes	ichpotzintli	es Ichpochtzintli. Pierde la ch por la tz	
no-guess	ichpochxillantzinco		1	1759 Paredes	ichpoxillantzinco	se dice también ichpochxillantzinco	
no-guess	ichpoxillantzinco		1	1759 Paredes	ichpochxillantzinco	se dice también ichpoxillantzinco, perdida la ch; por la siguiente x	
no-guess	ihuiyoquiza		1	1571 Molina 2	ihuiyotia  =	Cf. ihuiyoquiza	
no-guess	inpiltzin		1	1629 Alarcón	piltzintli	criatura [Ver ipiltzin, inpiltzin]	
no-guess	ipiltzin		1	1629 Alarcón	piltzintli	criatura [Ver ipiltzin, inpiltzin]	
no-guess	iuhc		1	1645 Carochi	iuhcan	véase iuhcän	
no-guess	iuhquin		1	1645 Carochi	iuhquin	véase iuhquin	
no-guess	mahuizmaca		1	1571 Molina 2	mahuizomaca  =	Cf. mahuizmaca	
no-guess	mahuizpoloa		1	1571 Molina 2	mahuizopoloa  =	Cf. mahuizpoloa	
no-guess	mahuizpololo		1	1571 Molina 2	mahuizopololo  =	Cf. mahuizpololo	
no-guess	matlazincatl		1	1598 Tezozomoc	matalçingas	Cf. matlazincatl	
no-guess	mauizopololo		1	1571 Molina 2	mahuizpololo	lo mismo es que mauizopololo	
no-guess	mauiztli		1	1565 Sahagún Escolios	mahuiztli teca	imprimir temor. o espanto, pt. mauiztli omotecac. (8)	
no-guess	miquiztli		1	1547 Olmos_G	miquiztli	miquiliztli, vel (latín: o) miquiztli; muerte	
no-guess	nachtze		1	1565 Sahagún Escolios	teachtze	el hermano mayor en linaje de oficio, dice la mujer nachtzin, ca. nachtze (1+)	
no-guess	nauitzin		1	1565 Sahagún Escolios	teahui	tia, ca. Naui nauitzin (1)	
no-guess	netlaquizahuiliztli		1	1571 Molina 2	netlac izahuiliztli  =	Cf. netlaquizahuiliztli	
no-guess	nezahualcoyotzin		1	1598 Tezozomoc	neçalhuacoyotzin	Cf. nezahualcoyotzin	
no-guess	ninotzatzili		1	1565 Sahagún Escolios	itech tzatzilia	gloria se de alguno diciendo que desciende del, pt. ytech ninotzatzili (6)	
no-guess	ninozihuauhtia		1	17?? Bnf_362	cihuauhtia	Casarse, suelen individuarse los sexos diciendo los hombres Ninozihuauhtia	
no-guess	nipetzini		1	1565 Sahagún Escolios	petzini	asomar, pt. onipetzin (24) / nipetzini. pt. onipetzin. asomar se cualquiera cosa (e)	
no-guess	niquiza		1	1571 Molina 2	topan ninochihua  =	Cf. tepan niquiza	
no-guess	nixquamoltzin		1	1565 Sahagún Escolios	ixcuamoltzin	persona que procede de otro, como los barbas y cejas procede de la cara, ca. nixquamoltzin (3+)	
no-guess	nocalpanpiltzin		1	1565 Sahagún Escolios	calpan pilli	[hijo o hija bastardos] ídem [ychtacaconetl], ca. nocalpanpiltzin (7)	
no-guess	nochicauacatzin		1	1565 Sahagún Escolios	chicahuac	cosa dura, ca. nochicauacatzin {nochicauatzin} (2) / cosa que tiene la carne dura de vejez, ca. nochicavacauh (3) / cosa recia o fuerte, ca. nochicauacauh, nochicacticauh (2)	
no-guess	nochicauatzin		1	1565 Sahagún Escolios	chicahuac	cosa dura, ca. nochicauacatzin {nochicauatzin} (2) / cosa que tiene la carne dura de vejez, ca. nochicavacauh (3) / cosa recia o fuerte, ca. nochicauacauh, nochicacticauh (2)	
no-guess	nocitzin		1	1565 Sahagún Escolios	citli	abuela, ca. noci, nocitzin (1)	
no-guess	nomecapiltzin		1	1565 Sahagún Escolios	mecapilli	[hijo o hija bastardos] ídem [ychtacaconetl], ca., nomecapiltzin (10)	
no-guess	nonantzin		1	1565 Sahagún Escolios	nantli	Madre, ca. nona, nonan, nonantzin (1)	
no-guess	nonenquizcauh		1	1565 Sahagún Escolios	nenquizqui	persona inútil, ca. nonenquizcauh (33)	
no-guess	nonetequizpan		1	1565 Sahagún Escolios	netetequizpan	la hora de echarse a dormir, ca. nonetequizpan (5)	
no-guess	nopilhuacatzin		1	1565 Sahagún Escolios	pilhua	cosa que tiene hijos, ca. nopilhuacauh (2) {madre de mis hijos} / persona que tiene hijos o hijas, ca. nopilhuacauh, nopilhuatzin, nopilhuacatzin (18)	
no-guess	nopilhuatzin		1	1565 Sahagún Escolios	pilhua	cosa que tiene hijos, ca. nopilhuacauh (2) {madre de mis hijos} / persona que tiene hijos o hijas, ca. nopilhuacauh, nopilhuatzin, nopilhuacatzin (18)	
no-guess	nopiltzin		1	1565 Sahagún Escolios	tecuneuh  +	Hijo o hija, ca. nopiltzin nocuneuh (1)	
no-guess	nopotzin		1	17?? Bnf_362bis	po	saltillo en la ô. Esta particula se puede usar opor si sola, o compuesta con todo género de nombres. De cualquiera manera pide los semipronombres no, mo, i etcetera y significa iguladad o semejanza, loqual declara mejor los ejemplos. Por si sola se usa así: No	
no-guess	noquixtilpiltzin		1	1565 Sahagún Escolios	quixtilpilli	muchacho o muchacha que imita la nobleza, ca., noquixtilpiltzin (4+)	
no-guess	noteavilizittacauh		1	1565 Sahagún Escolios	teahuilizittani	persona desperdiciadora que no se da nada por ninguna cosa, ca. noteavilizittacauh (24)	
no-guess	notemiquiztemachicauh		1	1565 Sahagún Escolios	temiquiztemachiyani	persona que desea la muerte a otro, ca. notemiquitlancauh, notemiquiztemachicauh (12)	
no-guess	notentzontzin		1	1565 Sahagún Escolios	tentzontzin	persona que procede de otro, como los barbas y cejas procede de la cara, ca. notentzontzin (3-)	
no-guess	noteputzecauh		1	1565 Sahagún Escolios	tepotze	el que rige o sustenta algún cargo, estos tres vocablos [cuexane, teputze, macuche] andan siempre juntos, ca. noteputzecauh, (9+) / persona que lleva algo a cuestas (18)	
no-guess	notetzatzilicauh		1	1565 Sahagún Escolios	tetzatziliani	persona que manda lo que se ha de hacer en casa, ca. notetzatzilicauh (27+)	
no-guess	notlaavilizittacauh		1	1565 Sahagún Escolios	tlaahuilizittani	cosa desperdiciadora, ca. notlaavilizittacauh (1)	
no-guess	notlamauiztilicauh		1	1565 Sahagún Escolios	tlamahuiztiliani	cosa reverente, ca. notlamauiztilicauh (16)	
no-guess	notlauelilocapiltzin		1	1565 Sahagún Escolios	tepiltzin  +	hijo, ca. notlauelilocapiltzin (26)	
no-guess	notlauizcal		1	1565 Sahagún Escolios	tlahuizcalli	el alba del día, ca. notlauizcal. (54)	
no-guess	notzecauh		1	1565 Sahagún Escolios	ootzti	hembra preñada, ca. notzecauh. (5)	
no-guess	notzicuevallo		1	1565 Sahagún Escolios	tetzicuehuallo	quebradura de la piedra que se labra o nieto o hijo, ca. notzicuevallo (5)	
no-guess	notzitzicacecauh		1	1565 Sahagún Escolios	tzitzicace	persona que reprehende y castiga, ca. notzitzicacecauh (9)	
no-guess	notzitzicaz		1	1565 Sahagún Escolios	atl cecec tzitzicaztli	castigo o corrección, ca. nalceceuh {nalcececauh} notzitzicaz (44)	
no-guess	notzitzimiuh		1	1565 Sahagún Escolios	tzitzitzimi	demonio o diablo, ca. notzitzimiuh (33)	
no-guess	noxuiuhticatzin		1	1565 Sahagún Escolios	ixhuiuhticatzin	Nieto o nieta, ca. noxuiuhticatzin (1+)	
no-guess	noxviuhtzin		1	1565 Sahagún Escolios	ixhuiuhtzin	Nieto o nieta, ca. noxviuhtzin (1+)	
no-guess	ntzinco		1	1645 Carochi	tollantzincatl	natural de Tölläntzinco	
no-guess	omotzineuh		1	1565 Sahagún Escolios	tzinehua	entrarse, pt. omotzineuh (34+)	
no-guess	onauilquiztine		1	1565 Sahagún Escolios	ahuilquiztinemi	ser pública pecadora o pecador, pt. onauilquiztine{n} (12)	
no-guess	onictzineuh		1	1565 Sahagún Escolios	tzinehua	volverlo de arriba abajo. o trastorna algo, pt. onictzineuh. (60)	
no-guess	onimauhcaquiz		1	1565 Sahagún Escolios	mauhcaquiza	Salir de alguna parte con miedo, pt. onimauhcaquiz. (24)	
no-guess	oninenquiz		1	1565 Sahagún Escolios	nenquiza	trabajar en balde, pt. onenquiz { oninenquiz }(36)	
no-guess	oninotlalotiquiz		1	1565 Sahagún Escolios	tlalotiquiza	huir, pt. oninotlalotiquiz. (92)	
no-guess	onitemiquiztemachi		1	1565 Sahagún Escolios	miquiztemachiya	desear la muerte a alguno, pt. onitemiquiztemachi (13)	
no-guess	onitenpatziuh		1	1565 Sahagún Escolios	tempatzihui	Nacer boquituerto, pt. onitenpatziuh (17-)	
no-guess	onitetzatzili		1	1565 Sahagún Escolios	tzatzilia	bocear, pt. onitetzatzili. (10)	
no-guess	onitetzitzicazui		1	1565 Sahagún Escolios	tzitzicazhuia	herir con ortigas o castigar con palabras penosas, pt. onitetzitzicazui (8)	
no-guess	onitlaauilizittac		1	1565 Sahagún Escolios	tlaahuilizitta	desperdiciar, pt. onitlaauilizittac (3)	
no-guess	onitlacatzinti		1	1565 Sahagún Escolios	tlacatzintia	empezar la generación, pt. onitlacatzinti (7+)	
no-guess	onitlailiuizvi		1	1565 Sahagún Escolios	tlailihuizhuia	ser arrojado o precipitado, pt. onitlailiuizvi (50)	
no-guess	onitlamauiztili		1	1565 Sahagún Escolios	tlamahuiztilia	reverenciar o honrar, pt. onitlamauiztili (17)	
no-guess	onitlateputzito		1	1565 Sahagún Escolios	tepotzitoa	murmurar, pt. onitlateputzitto { onitlateputzito }(36)	
no-guess	onitlateputzitto		1	1565 Sahagún Escolios	tepotzitoa	murmurar, pt. onitlateputzitto { onitlateputzito }(36)	
no-guess	onitlatzinti		1	1565 Sahagún Escolios	tzintia	principiar, pt. onitlatzinti (7-)	
no-guess	onitlatzitzicuini		1	1565 Sahagún Escolios	tzitzicuinia	rociar con sangre, con el golpe del dedo medio resoltido sobre el pulgar, pt. onitlatzitzicuini. (21)	
no-guess	onitlatziuh		1	1565 Sahagún Escolios	tlatzihui	hacerse inútil o infructuoso o impotente, pt. onitlatziuh (6)	
no-guess	onitlatzotzopotzine		1	1565 Sahagún Escolios	tlatzotzopotzinemi	andar revolviendo el agua andando debajo de ella, pt. onitlatzotzopotzine. (41+)	
no-guess	onitzatzic		1	1565 Sahagún Escolios	tzatzi	vocear, pt. onitzatzic}	
no-guess	onitzincholo		1	1565 Sahagún Escolios	tzincholoa	saltar atrás, pt. onitzincholo. (6+)	
no-guess	onitzinquiz		1	1565 Sahagún Escolios	tzinquiza	excusarse, pt. onitzinquiz (34)	
no-guess	onivaltzincholo		1	1565 Sahagún Escolios	hualtzincholoa	saltar atrás, pt. onivaltzincholo (6-)	
